text	label
Food quality was good	food
I had visited this hotel with my family	hotel
I went to this hotel by my own vehicle	hotel
The food quality was good in the hotel	food
The behaviour of staff was very good in the hotel	staff
The location of the hotel was nice	location
I dont have any suggestion for this hotel	hotel
The overall experience of the hotel was nice	hotel
Behaviour of the staff was very co-operative	staff
The hotel was located in the centre of the city	location
The location of the hotel was nice	location
I didnt face any difficulty to reach the hotel	location
The behaviour of the staff was very co-operative in the hotel	staff
The service was excellent in the hotel	service
The activity was not arranged by the hotel	activity
I had visited this hotel with my family	hotel
I don0 ۪t have any suggestion for this hotel	hotel
Overall experience was good	hotel
My stay was in Space 4 Resorts	hotel
The location of the resort was good	location
The appearance of the resort was good internally and externally	appearance
The check in and checkout was done on time	checkin
The staff members in the resort were helpful and friendly	staff
The room allotted to us was maintained well with all amenities working properly	room
The food served in the resort was average in quality and taste	food
There were no activities organized in the resort	activity
The vegetarian food was available	food
The destination of the hotel was good	location
The location of the hotel was nice	location
The appearance of the hotel was fine	appearance
I had visited this hotel with my family	hotel
The hotel was located outside the city	location
The service was provided on time	service
The behaviour of staff0 ۪s was good	staff
The allotted room was spacious with clean	room
The parking facility was available at the hotel	facility
The check in and checkout was done on time	checkin
AC and TV were provided in the room	room
The complimentary breakfast was provided in the hotel	food
The vegetarian food was available in the hotel	food
Provided room was very good	room
I had visited this hotel with my family for holiday trip	hotel
The variety in food was provided in the room	food
The garden was available at the hotel	facility
The appearance of the hotel was very good	appearance
The destination of the hotel was good	location
The provided room was very good at the hotel	room
All the facility was provided in the room	facility
The food was very good in the hotel	food
The activity was not arranged by the hotel	activity
It was a personal tour	hotel
I had visited this hotel with my family	hotel
The overall experience of the hotel was good	hotel
The parking place was available at the hotel	facility
The check in and checkout was done on time at the hotel	checkin
There was no sightseeing arranged by the hotel	activity
The staff's were well behaved in the hotel	staff 
The variety in food was provided in the hotel	food
 The activity was not arranged by the hotel	activity
Behaviour of the staff0 ۪s was friendly	staff
I had visited this hotel for official purpose	hotel
I went to this hotel by my own vehicle	hotel
Check in and checkout was done on time	checkin
I had booked this room on the spot	room
Behaviour of the staff0 ۪s was friendly	staff
Room was spacious with clean	room
I had complimentary breakfast in the hotel	food
The food quality was good and tasty	food
The activity was not arranged by the hotel	activity
I don0 ۪t have any suggestion	hotel
The service was nice	service
The hotel was located far away from the city	location
Garden was available at the hotel	facility
There was no problem in check in and checkout	checkin
The service was nice in the hotel	service
The activity was not conducted by the hotel	activity
The ambience was average	appearance
I had visited this hotel for personal trip	hotel
 The overall experience was good	hotel
 The cab facility was provided by the hotel	facility
 The garden and parking facility was good	facility
 I had booked this room by online	room
 There was no problem in check in and checkout	checkin
 The ambience was average	appearance
 The hot water facility was provided in the room	room
 The room and washroom was neat and clean	room
 All type of food provided in the hotel	food
 The activity was not conducted at the hotel	activity
 The complimentary breakfast was given by the hotel	food
 The lift facility was not available in the hotel	facility
The appearance was good	appearance
The appearance of the hotel was good	appearance
 The location of the hotel was good	location
 The check in and checkout was not delayed	checkin
 All amenities were working in the room	room
 The overall service was provided on time	service
 The room was clean and neat	room
 The complimentary breakfast was provided in the hotel	food
 There were no activities arranged by this hotel	activity
