Food quality was good,food
The food quality was good in the hotel,food
The behaviour of staff was very good in the hotel,staff
The location of the hotel was nice,location
Behaviour of the staff was very co-operative,staff
The hotel was located in the centre of the city,location
The location of the hotel was nice,location
I didnt face any difficulty to reach the hotel,location
The behaviour of the staff was very co-operative in the hotel,staff
The service was excellent in the hotel,service
The activity was not arranged by the hotel,activity
The location of the resort was good,location
The appearance of the resort was good internally and externally,appearance
The check in and checkout was done on time,checkin
The staff members in the resort were helpful and friendly,staff
The room allotted to us was maintained well with all amenities working properly,room
The food served in the resort was average in quality and taste,food
There were no activities organized in the resort,activity
The vegetarian food was available,food
The destination of the hotel was good,location
The location of the hotel was nice,location
The appearance of the hotel was fine,appearance
The hotel was located outside the city,location
The service was provided on time,service
The behaviour of staff0 —Ès was good,staff
The allotted room was spacious with clean,room
The parking facility was available at the hotel,facility
The check in and checkout was done on time,checkin
AC and TV were provided in the room,room
The complimentary breakfast was provided in the hotel,food
The vegetarian food was available in the hotel,food
Provided room was very good,room
The variety in food was provided in the room,food
The garden was available at the hotel,facility
The appearance of the hotel was very good,appearance
The destination of the hotel was good,location
The provided room was very good at the hotel,room
All the facility was provided in the room,facility
The food was very good in the hotel,food
The activity was not arranged by the hotel,activity
The parking place was available at the hotel,facility
The check in and checkout was done on time at the hotel,checkin
There was no sightseeing arranged by the hotel,activity
The staff's were well behaved in the hotel,staff
The variety in food was provided in the hotel,food
 The activity was not arranged by the hotel,activity
Behaviour of the staff0 —Ès was friendly,staff
Check in and checkout was done on time,checkin
I had booked this room on the spot,room
Behaviour of the staff0 —Ès was friendly,staff
Room was spacious with clean,room
I had complimentary breakfast in the hotel,food
The food quality was good and tasty,food
The activity was not arranged by the hotel,activity
The service was nice,service
The hotel was located far away from the city,location
Garden was available at the hotel,facility
There was no problem in check in and checkout,checkin
The service was nice in the hotel,service
The activity was not conducted by the hotel,activity
The ambience was average,appearance
 The cab facility was provided by the hotel,facility
 The garden and parking facility was good,facility
 I had booked this room by online,room
 There was no problem in check in and checkout,checkin
 The ambience was average,appearance
 The hot water facility was provided in the room,room
 The room and washroom was neat and clean,room
 All type of food provided in the hotel,food
 The activity was not conducted at the hotel,activity
 The complimentary breakfast was given by the hotel,food
 The lift facility was not available in the hotel,facility
The appearance was good,appearance
The appearance of the hotel was good,appearance
 The location of the hotel was good,location
 The check in and checkout was not delayed,checkin
 All amenities were working in the room,room
 The overall service was provided on time,service
 The room was clean and neat,room
 The complimentary breakfast was provided in the hotel,food
 There were no activities arranged by this hotel,activity
We booked for Garden room for two days,room
 As promised in pictures the room was more beautiful than it appeared and the private garden attached with the room was like icing on the cake,room
 Location was excellent; away from main market area; very peaceful and calm,location
 We had little trouble with hot water first day but it was manageable,facility
The only drawback of hotel was restaurant service,service
 The food was good but the service was not up to mark; Day 1 we waited for almost an hour for breakfast; even the complimentary breakfast was limited -either take continental (bread toast omelet) or Indian ( idli dosa) breakfast,food
 Day 2 we informed half an hour back for breakfast so we got our breakfast on time,food
I would definitely recommend this hotel to couples or groups who want calm and peaceful stay with excellent amenities,activity
 The hotel staff was very polite and helpful,staff
 My suggestion to hotel is that they can include -bonfire in their service; location weather and bonfire will be dazzling combo,activity
 To the staff- Keep up the good work,staff
Comfortable hotel in Ooty with excellent services,service
 The hotel had helped us out in for a early check-in ( one hour before the actual time),checkin
 Once you step inside the room you can feel the wooden finish texture of the room,room
 The rooms are generally very dimly light; which was a drawback,room
 But the amenities provided was good like Bath tube and park etc,facility
 On the other hand they had failed to provide a room heater even in superior room in cold climate region,room
 Also; the hotel is located very far away from the city which might interest some and could irritate others like me,location
 People planning to stay in this hotel better have rented bikes or cars so that they won lose their time much in reaching the hotel,location
 The one thing really good here was the hot Bath tube provided big enough for you to relaxing Bath after the fun filled trip around Ooty and connor,room
 Connor is must visit for all the people; we felt that Connor is better place to roam around and enjoy in the cold climate than in Ooty,location
 The hilly mountains and cloudy sky adds to the beauty of the place,location
 While staying in the hotel people should bring their own shampoo; tooth brush; tooth paste and mouth wash; as are provided by the hotel,facility
Even we are just provided with one shower cap; when two people are staying together,facility
Overall though the hotel look spooky its a comfortable stay and the food provided in the hotel is also manageable,food
So; I will definitely ask to give it a try if have or plan to take vehicles to travel around Ooty,location
Great stay with well furnished room ,room
We requested for an early check-in; it was approved; we request for a late check-out; it was approved also; even on a off season time; some hotel would not have approved it,checkin
The reception personnel were very helpful in advise on what to do in the city,staff
The room was so good; well furnished; cool light settings great view from the restaurant and a good location,room
Breakfast was good; with fresh fruits juice; fried eggs; sliced bread and everything you would want for breakfast,food
The location and view from the hotel is amazing,location
They have a beautiful gardens where you can click good pictures,appearance
They provide complimentary breakfast to their customers and it was really awesome,appearance
Good place for stay,general
The staff were friendly and cooperative,staff
 The overall service of the hotel was good,service
 The destination of the hotel was good,location
 There were no activities arranged by this hotel,activity
 The hotel was located in the centre of the city,location
 The room was clean and neat,room
 All amenities were working in the room,room
 The food was nice with south Indian dishes served,food
 I had visited this hotel for relaxation purpose,general
Nice place to stay,general
The room facility was nice,room
 The washroom was good,room
 Everything was excellent,general
 All type of food was provided in the hotel,food
 I had booked this room by online,room
 Bus stand was 2 kilometres from the hotel,location
 The activity was not provided at the hotel,activity
 It was an old hotel,general
 The garden and parking facility was good at the hotel,facility
It was a new hotel,general
Everything was very good in this hotel,general
 There was no activity in this hotel,activity
 I had visited this hotel for family trip,general
 The hotel was located in middle of the city,location
 The appearance of the hotel was nice,appearance
 It was a new hotel,general
 The check in and checkout was done on time,checkin
 All amenities were provided in the room,room
 The room and washroom was good,room
 I was satisfied to stay in this hotel,general
 I don't have any suggestion for this hotel,general
 I would like to recommend this hotel for upcoming travellers,general
There was no delay in service,service
I had visited this hotel for relaxation trip with family,general
 The overall experience of the hotel was good,general
 The room was value for money,room
 The hotel was located in centre of the city,location
